Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2016-08-01;15.7;15.7753;15.292;15.334;56852205
2016-08-02;15.2913;15.3247;14.76;15.1467;53986590
2016-08-03;15.158;15.3133;14.9473;15.0387;40959225
2016-08-04;15.046;15.3907;14.8033;15.374;51730455
2016-08-05;15.3333;15.4667;15.16;15.3353;38076855
2016-08-08;15.2;15.3067;15.0727;15.0773;26966730
2016-08-09;15.1213;15.436;15.11;15.272;26013270
2016-08-10;15.216;15.3247;14.9747;15.0433;27892500
2016-08-11;15.078;15.1713;14.894;14.994;24584895
2016-08-12;15.0273;15.11;14.936;15.0407;22213635
2016-08-15;15.068;15.3;14.9953;15.0393;24859200
2016-08-16;15.0327;15.146;14.894;14.9073;25531980
2016-08-17;14.9553;14.9887;14.8533;14.8827;21529665
2016-08-18;14.9213;15.044;14.8193;14.9007;24686520
2016-08-19;14.9027;15.0113;14.8353;15;18998940
2016-08-22;14.9447;15.0073;14.8453;14.862;25912890
2016-08-23;14.9547;15.2327;14.8533;14.9893;61726590
2016-08-24;15.1367;15.1433;14.8147;14.8413;30849030
2016-08-25;14.874;14.92;14.718;14.7307;23702400
2016-08-26;14.8093;14.857;14.588;14.666;28066035
2016-08-29;14.6767;14.6933;14.3333;14.3467;41490345
2016-08-30;14.4073;14.4073;14.0347;14.0893;39293820
2016-08-31;14.0287;14.1733;13.91;14.134;45252405
2016-09-01;13.934;14.0733;13.3667;13.3847;101478885
2016-09-02;13.4887;13.5467;13.08;13.1853;80531415
2016-09-06;13.268;13.55;13.2667;13.5213;63314040
2016-09-07;13.7;13.7663;13.3807;13.4467;39914670
2016-09-08;13.3033;13.326;13.0907;13.1573;47108895
2016-09-09;13.2727;13.328;12.9133;12.9647;46547970
2016-09-12;13;13.4247;12.94;13.22;45682050
2016-09-13;13.1373;13.2327;12.8967;13.07;44217765
2016-09-14;13.05;13.195;12.9903;13.094;26262960
2016-09-15;13.0993;13.5013;13.0933;13.348;32893980
2016-09-16;13.3613;13.7133;13.2667;13.6933;36271350
2016-09-19;13.8;13.962;13.6667;13.756;28437825
2016-09-20;13.79;13.85;13.594;13.6427;24861150
2016-09-21;13.758;13.8;13.4373;13.6813;31295040
2016-09-22;13.76;13.8187;13.5333;13.762;35023050
2016-09-23;13.7327;14.012;13.7113;13.83;40326630
2016-09-26;13.7667;14.0667;13.7667;13.9327;34518375
2016-09-27;13.9767;13.9987;13.6407;13.7207;37758465
2016-09-28;13.834;13.8833;13.684;13.7513;20548275
2016-09-29;13.7067;13.822;13.372;13.38;34996485
2016-09-30;13.4807;13.6653;13.3033;13.602;36826230
2016-10-03;14.1533;14.378;13.8833;14.2467;79822860
2016-10-04;14.2067;14.2213;13.9213;14.094;45549375
2016-10-05;14.1493;14.21;13.8747;13.8973;23705955
2016-10-06;13.4973;13.614;13.3473;13.4;67603155
2016-10-07;13.4;13.4213;13.0533;13.1073;44173905
2016-10-10;13.4233;13.6093;13.3107;13.3967;43420575
2016-10-11;13.4567;13.48;13.2207;13.34;33566775
2016-10-12;13.3967;13.592;13.3613;13.434;25068165
2016-10-13;13.3667;13.393;13.1367;13.3493;33137250
2016-10-14;13.3773;13.4287;13.0867;13.1007;47913015
2016-10-17;13.1367;13.226;12.8;12.9307;58331940
2016-10-18;13.066;13.298;12.884;13.2733;73818900
2016-10-19;13.316;13.7773;13.204;13.5707;84610620
2016-10-20;13.4747;13.5333;13.1367;13.2733;64948020
2016-10-21;13.24;13.438;13.1607;13.3393;33077490
2016-10-24;13.4;13.5963;13.35;13.5173;39959130
2016-10-25;13.5267;13.646;13.4133;13.4893;32718435
2016-10-26;13.4;13.546;13.34;13.4827;48029040
2016-10-27;14.0893;14.2467;13.4433;13.6007;191784030
2016-10-28;13.6;13.688;13.322;13.3313;63030705
2016-10-31;13.4993;13.4993;13.054;13.182;70384095
2016-11-01;13.2027;13.2333;12.5403;12.7193;105900540
2016-11-02;12.67;12.8463;12.5003;12.5347;63800730
2016-11-03;12.6;12.7647;12.4693;12.4947;39795345
2016-11-04;12.6;12.8973;12.3973;12.704;77190645
2016-11-07;12.906;12.9527;12.67;12.8807;56728905
2016-11-08;12.9193;13.166;12.7507;12.996;47564715
2016-11-09;12.4583;12.8;12.2633;12.6707;121972710
2016-11-10;12.7367;12.774;12.028;12.3567;99932550
2016-11-11;12.2827;12.592;12.2;12.5707;58538640
2016-11-14;12.5333;12.55;11.8793;12.0967;98283075
2016-11-15;12.1853;12.4287;12.1367;12.2513;58530270
2016-11-16;12.1767;12.3153;12.0807;12.262;51078150
2016-11-17;12.2327;12.6327;12.1407;12.5773;67815780
2016-11-18;12.71;12.8667;12.3333;12.3347;77704125
2016-11-21;12.336;12.5927;12.294;12.3133;64941270
2016-11-22;12.3893;12.7647;12.2473;12.7447;83511015
2016-11-23;12.7073;13.043;12.6;12.876;70220145
2016-11-25;12.9093;13.149;12.9093;13.11;34833240
2016-11-28;13.032;13.29;12.97;13.0747;65989725
2016-11-29;13.0373;13.1153;12.6333;12.638;64908225
2016-11-30;12.7333;12.7927;12.5;12.6267;51503475
2016-12-01;12.55;12.5687;12.0667;12.1253;74774385
